feature,feature_index,dtype_train,dtype_validation,persisted_in_train,persisted_in_validation,classification,availability_status,leakage_status,reason,source_evidence_count,source_files,source_signals
is_weekday,14,bool,bool,True,True,temporal_calendar,SAFE,NO_CONFIRMED_LEAKAGE,"Feature is a calendar/time representation. Calendar/time feature describes the prediction timestamp and does not require future observations. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_weekend,15,bool,bool,True,True,temporal_calendar,SAFE,NO_CONFIRMED_LEAKAGE,"Feature is a calendar/time representation. Calendar/time feature describes the prediction timestamp and does not require future observations. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_monday,16,bool,bool,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_tuesday,17,bool,bool,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_wednesday,18,bool,bool,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_thursday,19,bool,bool,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_friday,20,bool,bool,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_saturday,21,bool,bool,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_sunday,22,bool,bool,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
hour_sin,23,float64,float64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
hour_cos,24,float64,float64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
day_of_week_sin,25,float64,float64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
day_of_week_cos,26,float64,float64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
day_of_year_sin,27,float64,float64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
day_of_year_cos,28,float64,float64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
month_sin,29,float64,float64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
month_cos,30,float64,float64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
calendar_year,31,int64,int64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
calendar_month,32,int64,int64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
calendar_quarter,33,int64,int64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
calendar_week_of_year,34,int64,int64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
calendar_day_of_month,35,int64,int64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
calendar_day_of_year,36,int64,int64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
calendar_day_of_week,37,int64,int64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
calendar_week_of_month,38,int64,int64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
calendar_week_of_quarter,39,int64,int64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_month_start,40,bool,bool,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_month_end,41,bool,bool,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
days_to_month_end,42,int64,int64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_quarter_start,43,bool,bool,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_quarter_end,44,bool,bool,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_quarter_start_month,45,bool,bool,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_quarter_end_month,46,bool,bool,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_year_start,47,bool,bool,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_year_end,48,bool,bool,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
calendar_month_sin,49,float64,float64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
calendar_month_cos,50,float64,float64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
calendar_day_of_week_sin,51,float64,float64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
calendar_day_of_week_cos,52,float64,float64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
calendar_day_of_year_sin,53,float64,float64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
calendar_day_of_year_cos,54,float64,float64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
calendar_quarter_sin,55,float64,float64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
calendar_quarter_cos,56,float64,float64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
capacity_utilization,57,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
availability_rate,58,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupied_ratio,59,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
available_ratio,60,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
vacancy_ratio,61,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_level,62,str,str,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_empty,63,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_low_occupancy,64,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_moderate_occupancy,65,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_high_occupancy,66,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_near_full,67,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_capacity_difference,68,int64,int64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_within_capacity,69,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_state_valid,70,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
demand_level,71,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
calculated_demand_level,72,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
demand_pressure,73,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
demand_excess_pressure,74,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
remaining_capacity_ratio,75,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
availability_pressure,76,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_low_availability,77,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_critical_availability,78,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_full,79,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_zero_capacity,80,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_capacity_exceeded,81,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
demand_class,82,str,str,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
demand_class_code,83,int64,int64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_low_demand,84,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_moderate_demand,85,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_high_demand,86,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_very_high_demand,87,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
is_critical_demand,88,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_consistent,89,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
space_count_consistent,90,bool,bool,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
has_valid_capacity,91,bool,bool,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
has_valid_occupancy,92,bool,bool,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
has_negative_values,93,bool,bool,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
has_capacity_violation,94,bool,bool,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
has_consistency_issue,95,bool,bool,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_lag_30m,96,float64,float64,True,True,historical_lag,SAFE_IF_GENERATED_CAUSALLY,NO_CONFIRMED_LEAKAGE,"Feature name explicitly identifies a historical lag. Historical lag is temporally safe provided its source series is ordered by time and no future rows are used. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_lag_1h,97,float64,float64,True,True,historical_lag,SAFE_IF_GENERATED_CAUSALLY,NO_CONFIRMED_LEAKAGE,"Feature name explicitly identifies a historical lag. Historical lag is temporally safe provided its source series is ordered by time and no future rows are used. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_lag_2h,98,float64,float64,True,True,historical_lag,SAFE_IF_GENERATED_CAUSALLY,NO_CONFIRMED_LEAKAGE,"Feature name explicitly identifies a historical lag. Historical lag is temporally safe provided its source series is ordered by time and no future rows are used. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_lag_3h,99,float64,float64,True,True,historical_lag,SAFE_IF_GENERATED_CAUSALLY,NO_CONFIRMED_LEAKAGE,"Feature name explicitly identifies a historical lag. Historical lag is temporally safe provided its source series is ordered by time and no future rows are used. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_lag_6h,100,float64,float64,True,True,historical_lag,SAFE_IF_GENERATED_CAUSALLY,NO_CONFIRMED_LEAKAGE,"Feature name explicitly identifies a historical lag. Historical lag is temporally safe provided its source series is ordered by time and no future rows are used. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_lag_12h,101,float64,float64,True,True,historical_lag,SAFE_IF_GENERATED_CAUSALLY,NO_CONFIRMED_LEAKAGE,"Feature name explicitly identifies a historical lag. Historical lag is temporally safe provided its source series is ordered by time and no future rows are used. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_lag_1d,102,float64,float64,True,True,historical_lag,SAFE_IF_GENERATED_CAUSALLY,NO_CONFIRMED_LEAKAGE,"Feature name explicitly identifies a historical lag. Historical lag is temporally safe provided its source series is ordered by time and no future rows are used. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupied_spaces_lag_30m,103,float64,float64,True,True,historical_lag,SAFE_IF_GENERATED_CAUSALLY,NO_CONFIRMED_LEAKAGE,"Feature name explicitly identifies a historical lag. Historical lag is temporally safe provided its source series is ordered by time and no future rows are used. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
