feature_name,feature_family,production_status,dependency,availability_at_t,future_information_risk,target_reference_risk,source_evidence_count,source_files,rationale,required_production_documentation,recommended_action
is_month_start,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
is_month_end,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
days_to_month_end,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
is_quarter_start,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
is_quarter_end,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
is_quarter_start_month,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
is_quarter_end_month,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
is_year_start,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
is_year_end,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
calendar_month_sin,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
calendar_month_cos,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
calendar_day_of_week_sin,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
calendar_day_of_week_cos,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
calendar_day_of_year_sin,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
calendar_day_of_year_cos,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
calendar_quarter_sin,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
calendar_quarter_cos,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
capacity_utilization,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
availability_rate,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
occupied_ratio,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
available_ratio,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
vacancy_ratio,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
occupancy_level,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
is_empty,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,1,app\ml\ml_models\xgboost_model.py,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
is_low_occupancy,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
is_moderate_occupancy,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
is_high_occupancy,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
is_near_full,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
occupancy_capacity_difference,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
occupancy_within_capacity,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
occupancy_state_valid,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
demand_level,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
calculated_demand_level,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
demand_pressure,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
demand_excess_pressure,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
remaining_capacity_ratio,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
availability_pressure,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
is_low_availability,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
is_critical_availability,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
is_full,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
is_zero_capacity,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
is_capacity_exceeded,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
demand_class,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
