feature,family,classification,prediction_time_status,confidence,current_state_dependency,source_fields,target_reference,future_reference,rolling_or_lag_reference,source_files,source_line_numbers,rationale,production_action
time_slot,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"68, 136, 222, 253, 290, 295, 808, 809, 814",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
minutes_since_midnight,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\temporal_normalizer.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"95, 137, 796, 801, 802, 804, 812, 830, 921, 933, 1339, 1355, 1363, 1634, 1641, 1647",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
minutes_since_week_start,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"96, 138, 826, 827",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
is_weekday,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"72, 141, 601, 604, 611, 621, 665, 849, 850, 1406, 1669",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
is_weekend,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"73, 142, 605, 616, 627, 666, 855, 856, 1408, 1672",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
is_monday,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"74, 143, 641, 667, 861, 862, 1411",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
is_tuesday,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"75, 144, 645, 668, 867, 868, 1412",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
is_wednesday,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"76, 145, 649, 669, 873, 874, 1413",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
is_thursday,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"77, 146, 653, 670, 879, 880, 1414",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
is_friday,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"78, 147, 657, 671, 885, 886, 1415",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
is_saturday,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"79, 148, 661, 672, 891, 892, 1416",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
is_sunday,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"80, 149, 665, 673, 897, 898, 1417",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
hour_sin,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"84, 152, 937, 938, 1140, 1235",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
hour_cos,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"85, 153, 943, 944, 1141, 1236",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
day_of_week_sin,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"86, 154, 958, 967, 968, 1142, 1237, 1451",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
day_of_week_cos,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"87, 155, 970, 973, 974, 1143, 1238, 1453",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
day_of_year_sin,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"88, 156, 994, 1006, 1007, 1455",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
day_of_year_cos,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"89, 157, 1006, 1012, 1013, 1457",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
month_sin,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"90, 158, 925, 1037, 1038, 1447",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
month_cos,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"91, 159, 937, 1043, 1044, 1449",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
calendar_year,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"406, 1378, 1574",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
calendar_month,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"420, 925, 937, 1381, 1447, 1449, 1575",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
calendar_quarter,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"434, 1027, 1039, 1384, 1459, 1461, 1576",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
calendar_week_of_year,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"448, 1387, 1577",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
calendar_day_of_month,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"464, 1390, 1578",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
calendar_day_of_year,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"478, 994, 1006, 1393, 1455, 1457, 1579",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
calendar_day_of_week,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"492, 958, 970, 1396, 1451, 1453, 1580",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
calendar_week_of_month,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"525, 1399, 1581",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
calendar_week_of_quarter,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"581, 1402, 1582",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
is_month_start,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"697, 706, 1423",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
is_month_end,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"701, 711, 1425",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
days_to_month_end,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"739, 746, 750, 1427, 1583",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
is_quarter_start,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"764, 818, 846, 850, 1431, 1435",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
is_quarter_end,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"775, 832, 858, 862, 1433, 1437",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
is_quarter_start_month,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"764, 846, 850, 1435",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
is_quarter_end_month,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"775, 858, 862, 1437",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
is_year_start,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"874, 875, 884, 888, 1441",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
is_year_end,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"878, 879, 897, 901, 1443",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
calendar_month_sin,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"925, 1447",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
calendar_month_cos,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"937, 1449",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
calendar_day_of_week_sin,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"958, 1451",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
calendar_day_of_week_cos,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"970, 1453",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
calendar_day_of_year_sin,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"994, 1455",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
calendar_day_of_year_cos,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"1006, 1457",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
calendar_quarter_sin,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"1027, 1459",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
calendar_quarter_cos,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,"1039, 1461",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
