feature,classification,risk_level,metadata_column,numeric_training,numeric_validation,training_null_count,validation_null_count,future_reference_detected,target_reference_detected,negative_shift_detected,forward_window_detected,centered_window_detected,expanding_window_detected,rolling_operation_detected,lag_operation_detected,current_state_indicator,source_evidence_count,source_files,manual_review_required,reasons
time_slot,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
minutes_since_midnight,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,15,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\temporal_normalizer.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
minutes_since_week_start,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
is_weekday,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,10,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
is_weekend,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,9,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
is_monday,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,6,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
is_tuesday,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,6,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
is_wednesday,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,6,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
is_thursday,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,6,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
is_friday,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,6,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
is_saturday,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,6,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
is_sunday,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,6,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
hour_sin,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,5,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
hour_cos,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,5,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
day_of_week_sin,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,5,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
day_of_week_cos,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,5,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
day_of_year_sin,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
day_of_year_cos,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
month_sin,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
month_cos,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
calendar_year,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
calendar_month,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
calendar_quarter,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
calendar_week_of_year,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
calendar_day_of_month,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
calendar_day_of_year,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
calendar_day_of_week,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
calendar_week_of_month,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
calendar_week_of_quarter,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
is_month_start,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
is_month_end,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
days_to_month_end,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,5,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
is_quarter_start,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
is_quarter_end,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
is_quarter_start_month,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,4,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
is_quarter_end_month,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,4,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
is_year_start,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,5,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
is_year_end,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,5,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
calendar_month_sin,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
calendar_month_cos,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
calendar_day_of_week_sin,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
calendar_day_of_week_cos,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
calendar_day_of_year_sin,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
calendar_day_of_year_cos,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
calendar_quarter_sin,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
calendar_quarter_cos,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py,False,Calendar/temporal feature with no detected future dependency.
capacity_utilization,static_facility,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,15,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,False,Static facility feature with no detected future dependency.
availability_rate,current_state,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,True,24,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\dataset_builder.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,True,Feature represents current parking state. Its validity depends on whether current state is genuinely available at prediction time.
occupied_ratio,current_state,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,True,11,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,True,Feature represents current parking state. Its validity depends on whether current state is genuinely available at prediction time.
available_ratio,current_state,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,True,12,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,True,Feature represents current parking state. Its validity depends on whether current state is genuinely available at prediction time.
vacancy_ratio,current_state,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,True,11,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,True,Feature represents current parking state. Its validity depends on whether current state is genuinely available at prediction time.
occupancy_level,current_state,REVIEW,False,False,False,0,0,False,False,False,False,False,False,False,False,True,4,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,True,Feature represents current parking state. Its validity depends on whether current state is genuinely available at prediction time.
is_empty,other,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,True,Feature could not be confidently classified as a safe temporal dependency.
is_low_occupancy,current_state,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,True,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,True,Feature represents current parking state. Its validity depends on whether current state is genuinely available at prediction time.
is_moderate_occupancy,current_state,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,True,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,True,Feature represents current parking state. Its validity depends on whether current state is genuinely available at prediction time.
is_high_occupancy,current_state,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,True,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,True,Feature represents current parking state. Its validity depends on whether current state is genuinely available at prediction time.
is_near_full,current_state,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,True,6,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,True,Feature represents current parking state. Its validity depends on whether current state is genuinely available at prediction time.
occupancy_capacity_difference,static_facility,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,6,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,False,Static facility feature with no detected future dependency.
occupancy_within_capacity,static_facility,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,False,Static facility feature with no detected future dependency.
occupancy_state_valid,other,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,True,Feature could not be confidently classified as a safe temporal dependency.
demand_level,current_state,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,True,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,True,Feature represents current parking state. Its validity depends on whether current state is genuinely available at prediction time.
calculated_demand_level,current_state,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,True,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,True,Feature represents current parking state. Its validity depends on whether current state is genuinely available at prediction time.
demand_pressure,current_state,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,True,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,True,Feature represents current parking state. Its validity depends on whether current state is genuinely available at prediction time.
demand_excess_pressure,other,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,True,Feature could not be confidently classified as a safe temporal dependency.
remaining_capacity_ratio,static_facility,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,6,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,False,Static facility feature with no detected future dependency.
availability_pressure,current_state,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,True,10,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,True,Feature represents current parking state. Its validity depends on whether current state is genuinely available at prediction time.
is_low_availability,current_state,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,True,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,True,Feature represents current parking state. Its validity depends on whether current state is genuinely available at prediction time.
is_critical_availability,current_state,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,True,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,True,Feature represents current parking state. Its validity depends on whether current state is genuinely available at prediction time.
is_full,current_state,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,True,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,True,Feature represents current parking state. Its validity depends on whether current state is genuinely available at prediction time.
is_zero_capacity,static_facility,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,False,Static facility feature with no detected future dependency.
is_capacity_exceeded,static_facility,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,False,Static facility feature with no detected future dependency.
demand_class,current_state,REVIEW,False,False,False,0,0,False,False,False,False,False,False,False,False,True,18,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,True,Feature represents current parking state. Its validity depends on whether current state is genuinely available at prediction time.
demand_class_code,current_state,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,True,3,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,True,Feature represents current parking state. Its validity depends on whether current state is genuinely available at prediction time.
is_low_demand,other,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,True,Feature could not be confidently classified as a safe temporal dependency.
is_moderate_demand,other,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,True,Feature could not be confidently classified as a safe temporal dependency.
is_high_demand,other,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,True,Feature could not be confidently classified as a safe temporal dependency.
is_very_high_demand,other,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,True,Feature could not be confidently classified as a safe temporal dependency.
is_critical_demand,other,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,True,Feature could not be confidently classified as a safe temporal dependency.
occupancy_rate_consistent,current_state,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,True,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,True,Feature represents current parking state. Its validity depends on whether current state is genuinely available at prediction time.
space_count_consistent,other,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,True,Feature could not be confidently classified as a safe temporal dependency.
has_valid_capacity,static_facility,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,False,Static facility feature with no detected future dependency.
has_valid_occupancy,other,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,True,Feature could not be confidently classified as a safe temporal dependency.
has_negative_values,other,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,True,Feature could not be confidently classified as a safe temporal dependency.
has_capacity_violation,static_facility,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,False,Static facility feature with no detected future dependency.
has_consistency_issue,other,REVIEW,False,True,True,0,0,False,False,False,False,False,False,False,False,False,2,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,True,Feature could not be confidently classified as a safe temporal dependency.
occupancy_rate_lag_30m,historical_lag,REVIEW,False,True,True,1438,324,False,False,False,False,False,False,False,False,False,0,,True,No direct feature-generation source reference was found. Manual lineage review is required.
occupancy_rate_lag_1h,historical_lag,REVIEW,False,True,True,2731,617,False,False,False,False,False,False,False,False,False,0,,True,No direct feature-generation source reference was found. Manual lineage review is required.
occupancy_rate_lag_2h,historical_lag,REVIEW,False,True,True,5467,1207,False,False,False,False,False,False,False,False,False,0,,True,No direct feature-generation source reference was found. Manual lineage review is required.
occupancy_rate_lag_3h,historical_lag,REVIEW,False,True,True,8241,1800,False,False,False,False,False,False,False,False,False,0,,True,No direct feature-generation source reference was found. Manual lineage review is required.
occupancy_rate_lag_6h,historical_lag,REVIEW,False,True,True,16535,3577,False,False,False,False,False,False,False,False,False,0,,True,No direct feature-generation source reference was found. Manual lineage review is required.
occupancy_rate_lag_12h,historical_lag,REVIEW,False,True,True,23244,4980,False,False,False,False,False,False,False,False,False,0,,True,No direct feature-generation source reference was found. Manual lineage review is required.
