feature,family,present_in_training,present_in_validation,dtype_training,dtype_validation,null_count_training,null_count_validation,source_evidence_count,source_files,source_lines,source_operations,source_expressions,candidate_source_columns,has_shift,has_negative_shift,has_positive_shift,has_rolling,has_centered_rolling,has_expanding,has_diff,has_pct_change,has_forward_operation,has_future_named_signal,target_context_evidence,feature_context_evidence,temporal_direction,causal_assessment,production_verdict,notes
available_spaces_roll_12h_available,other,True,True,bool,bool,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_1d_available,other,True,True,bool,bool,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_1h_available,other,True,True,bool,bool,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_2h_available,other,True,True,bool,bool,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_3h_available,other,True,True,bool,bool,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_6h_available,other,True,True,bool,bool,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_count_12h,other,True,True,int64,int64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_count_1d,other,True,True,int64,int64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_count_1h,other,True,True,int64,int64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_count_2h,other,True,True,int64,int64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_count_3h,other,True,True,int64,int64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_count_6h,other,True,True,int64,int64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_coverage_ratio_12h,other,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_coverage_ratio_1d,other,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_coverage_ratio_1h,other,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_coverage_ratio_2h,other,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_coverage_ratio_3h,other,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_coverage_ratio_6h,other,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_max_12h,historical,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_max_1d,historical,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_max_1h,historical,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_max_2h,historical,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_max_3h,historical,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_max_6h,historical,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_mean_12h,historical,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_mean_1d,historical,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_mean_1h,historical,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_mean_2h,historical,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_mean_3h,historical,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_mean_6h,historical,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_median_12h,historical,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_median_1d,historical,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_median_1h,historical,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_median_2h,historical,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_roll_median_3h,historical,True,True,float64,float64,0,0,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
